,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note,Max Year Code
43,1,'051,Armenia,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20212023,2021-2023,%,<2.5,E,,20212023
219,1,'051,Armenia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,8.5,A,Official estimate integrated with FAO data,20212023
227,1,'051,Armenia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,7.4,A,Official estimate integrated with FAO data,20212023
235,1,'051,Armenia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,9.5,A,Official estimate integrated with FAO data,20212023
243,1,'051,Armenia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),6121,Value,20212023,2021-2023,%,7.2,A,Official estimate integrated with FAO data,20212023
251,1,'051,Armenia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61211,Confidence interval: Lower bound,20212023,2021-2023,%,5.7,A,Official estimate integrated with FAO data,20212023
259,1,'051,Armenia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),61212,Confidence interval: Upper bound,20212023,2021-2023,%,8.6,A,Official estimate integrated with FAO data,20212023
281,1,'051,Armenia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2021-2023,%,135,E,,20212023
302,1,'051,Armenia,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2020-2022,%,39,E,,20202022
323,1,'051,Armenia,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,108.6,E,,20202022
344,1,'051,Armenia,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2020-2022,g/cap/d,55.2,E,,20202022
360,1,'051,Armenia,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2021,2021,km,2.3,X,,2021
383,1,'051,Armenia,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),6121,Value,2022,2022,%,7.2,X,,2022
